City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Kieta,PG,85.62,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
5,Bathsheba,BB,79.41,light rain,13.2167,-59.5167,Atlantis Hotel
7,Sao Filipe,CV,78.06,broken clouds,14.8961,-24.4956,Hotel Xaguate
9,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
13,Lorengau,PG,85.21,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
17,Rapid Valley,US,75.4,clear sky,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
21,Keti Bandar,PK,81.03,scattered clouds,24.1447,67.4497,Haji laloo memon house
26,Kapaa,US,81.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
27,Butaritari,KI,82.35,light rain,3.0707,172.7902,Isles Sunset Lodge
29,Nishihara,JP,82.45,few clouds,26.1842,127.7558,Minshuku Agaihama
33,Nizwa,OM,77.38,scattered clouds,22.9333,57.5333,Orient Apartments
34,Kourou,GF,82.45,overcast clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
35,Batticaloa,LK,82.08,overcast clouds,7.7102,81.6924,Grand Star Guest House
41,Altar,MX,89.56,clear sky,30.7,-111.8167,Hotel Maria Elena
43,Camopi,GF,79.21,overcast clouds,3.1655,-52.3158,La pousada
45,Jalu,LY,76.93,clear sky,29.0331,21.5482,صاحبة الفخامة
50,Irbil,IQ,79.43,clear sky,36.1926,44.0106,Erbil International Hotel
51,Diplo,PK,78.64,clear sky,24.4667,69.584,Mukhi Ahmed Ali Residency
53,Salinas,US,75.99,smoke,36.6777,-121.6555,Laurel Inn & Conference Center
54,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
55,Aloleng,PH,82.63,broken clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
61,Lodwar,KE,82.17,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
64,Kulhudhuffushi,MV,78.82,overcast clouds,6.6221,73.07,Haajy Guest House 1
69,Padang,ID,77.11,overcast clouds,-0.9492,100.3543,Mercure Padang
70,Hilo,US,86.25,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
73,Harper,LR,75.79,light rain,4.375,-7.7169,Screensaver
75,Atuona,PF,76.86,light rain,-9.8,-139.0333,Villa Enata
76,Honiara,SB,85.73,scattered clouds,-9.4333,159.95,Heritage Park Hotel
79,Kaseda,JP,76.5,clear sky,31.4167,130.3167,Sun Stay Kaseda
83,Nicoya,CR,75.78,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
89,Victoria,HK,84.25,few clouds,22.2855,114.1577,Mini Central
96,Eyl,SO,76.84,few clouds,7.9803,49.8164,EYL AQUE SYSTEM
99,Hithadhoo,MV,81.28,broken clouds,-0.6,73.0833,Scoop Guest House
100,Saint George,US,87.44,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
104,Bengkulu,ID,75.2,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
109,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
114,Metro,ID,76.12,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
121,Banikoara,BJ,75.85,broken clouds,11.2985,2.4386,Hôtel de l'UCom CVPC
122,Cabedelo,BR,75.87,few clouds,-6.9811,-34.8339,Pousada Camboinha
125,Qui Nhon,VN,77.77,overcast clouds,13.7667,109.2333,Seagull Hotel
128,Ixtapa,MX,83.23,overcast clouds,20.7,-105.2,hotel la terminal
130,Porto Velho,BR,77.05,few clouds,-8.7619,-63.9039,Ecos Hotel Conforto
135,Port-Gentil,GA,76.96,broken clouds,-0.7193,8.7815,Fengshui Residence
136,Alyangula,AU,83.98,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
137,Davila,PH,78.78,few clouds,18.4726,120.5763,Blue Ridge Beach Resort
139,Acarau,BR,77.76,clear sky,-2.8856,-40.12,castelo pizzaria
169,Lufilufi,WS,89.38,clear sky,-13.8745,-171.5986,Leuaina Beach Resort and Spa
171,Lar,IN,77.54,scattered clouds,26.2039,83.9717,Ovaiskarni ward Lar
176,Ha Giang,VN,75.16,overcast clouds,22.8333,104.9833,Truong Xuan Resort
178,Hambantota,LK,79.83,overcast clouds,6.1241,81.1185,Bungalow 63
179,Parintins,BR,75.69,overcast clouds,-2.6283,-56.7358,Cama e Cafe
180,Portland,US,89.71,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
184,Kavieng,PG,84.83,light rain,-2.5744,150.7967,Nusa Island Retreat
186,Hobyo,SO,76.24,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
187,Ormara,PK,79.11,few clouds,25.2088,64.6357,Kenara Colony House for Rent
190,Houma,US,81.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
195,Narwana,IN,75.81,clear sky,29.6167,76.1167,Dth Service Narwana
196,Tiarei,PF,84.22,overcast clouds,-17.5333,-149.3333,Le Rocher de Tahiti
200,Atar,MR,89.82,few clouds,20.5169,-13.0499,Oumou Elghoura
203,Manavalakurichi,IN,77.72,overcast clouds,8.1333,77.3,Jebinrio home
204,Bairiki,KI,87.8,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
208,Labuhan,ID,80.28,overcast clouds,-6.8844,112.2051,DoubleFAG
210,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Pirineos
213,Makakilo City,US,79.12,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
217,Ramhormoz,IR,83.7,clear sky,31.28,49.6035,کافی نت کاریزما
218,Naze,JP,81.52,clear sky,28.3667,129.4833,Shishime Hotel
220,Port Hedland,AU,77.05,broken clouds,-20.3167,118.5667,The Esplanade Hotel
221,Dodge City,US,82.24,clear sky,37.7528,-100.0171,Windsor Inn & Suites
226,Buchanan,LR,75.38,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
233,Atambua,ID,80.08,overcast clouds,-9.1061,124.8925,Ros Muskanan
238,Salalah,OM,80.69,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
239,Williams Lake,CA,79.05,few clouds,52.1415,-122.1445,Stampeder Motel
246,Bawku,GH,75.6,broken clouds,11.0616,-0.2417,Ultimate Guest House
249,Toyo,PH,81.64,overcast clouds,10.7333,125.0167,Florina Country Lodge
250,Kahului,US,86.02,light rain,20.8947,-156.47,Maui Seaside Hotel
253,Presidente Medici,BR,75.94,moderate rain,-11.1753,-61.9014,Oliveira Palace Hotel
254,Nabire,ID,83.88,scattered clouds,-3.3667,135.4833,Hotel Nusantara I
258,Ewa Beach,US,80.55,light rain,21.3156,-158.0072,Base Lodging
277,Tumpat,MY,75.18,scattered clouds,6.1978,102.171,Baan Tanyong B&B
281,Muncar,ID,78.75,broken clouds,-8.4333,114.3333,Zaky Homestay
284,Honolulu,US,80.42,light rain,21.3069,-157.8583,Aston at the Executive Centre Hotel
288,Bac Giang,VN,77.07,few clouds,21.2667,106.2,An Binh Hotel 2
289,Andros Town,BS,82.36,scattered clouds,24.7,-77.7667,Hanks place
293,San Juan,AR,76.28,clear sky,-31.5375,-68.5364,Hotel Provincial
294,Tabou,CI,75.47,light rain,4.423,-7.3528,hotêl doufoulougou
300,Sao Felix Do Xingu,BR,80.26,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
301,Nago,JP,83.25,few clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
302,Aquiraz,BR,80.69,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
307,Yulara,AU,75.74,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
308,Punaauia,PF,83.84,scattered clouds,-17.6333,-149.6,HÔTEL TAHITI IA ORA BEACH RESORT
318,Sharjah,AE,85.98,haze,25.3573,55.4033,Swiss Belhotel Sharjah
319,Jacareacanga,BR,75.78,broken clouds,-6.2222,-57.7528,Casa do Ian😎
320,Catuday,PH,81.27,broken clouds,16.2923,119.8062,Benjie's Kubo & Cottages
329,Banda Aceh,ID,79.61,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
330,Asyut,EG,82.58,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
336,Brokopondo,SR,78.39,overcast clouds,4.75,-55.1667,Matu Island
337,Alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
338,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
340,Manado,ID,83.17,few clouds,1.487,124.8455,Aryaduta Hotel
341,Samarai,PG,82.27,overcast clouds,-10.6167,150.6667,Nuli Sapi
350,Meulaboh,ID,75.99,overcast clouds,4.1363,96.1285,Kost Pria
353,Vernon,CA,83.23,clear sky,50.2581,-119.2691,Prestige Vernon Lodge and Conference Centre
356,Pangai,TO,82.51,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
359,Cururupu,BR,77.52,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
361,Isangel,VU,77.11,overcast clouds,-19.55,169.2667,Tanna Lodge
364,Hasaki,JP,75.22,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
366,Bambanglipuro,ID,78.37,light rain,-7.95,110.2833,Puri Brata
369,Soyo,AO,75.24,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
370,Fukue,JP,77.36,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
371,Los Algarrobos,PA,81.01,few clouds,8.5,-82.4333,Waterfall Hostel
374,Champerico,GT,82.94,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
375,Luganville,VU,85.28,few clouds,-15.5333,167.1667,The Espiritu Hotel
384,Kerema,PG,83.37,overcast clouds,-7.9631,145.7785,Frena Lodge
386,Burias,PH,82.11,broken clouds,11.4463,122.5497,Bahay ni Angelo
388,Kalmunai,LK,81.01,overcast clouds,7.4167,81.8167,VS Villa
389,Kumluca,TR,77.38,clear sky,36.3703,30.2869,Akkol Apart
393,Half Moon Bay,US,75.22,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
394,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
396,Auki,SB,86.68,scattered clouds,-8.7676,160.7034,Auki Motel
400,Tezu,IN,76.78,overcast clouds,27.9167,96.1667,Circuit House
401,Lasem,ID,80.02,overcast clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Warung & Community Center"
402,Chabahar,IR,79.14,clear sky,25.2919,60.643,هتل گدروشیا
404,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
408,Awbari,LY,79.95,clear sky,26.5921,12.7805,استراحة الشارب العائلي
410,Beaufort,MY,79.93,overcast clouds,5.3473,115.7455,The Gem Hotel Beaufort
411,Black River,JM,80.19,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
413,Boa Vista,BR,76.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
423,Laguna,US,86.31,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
425,Mayumba,GA,75.42,overcast clouds,-3.432,10.6554,LIKWALE LODGE
428,Rio Bravo,MX,89.29,broken clouds,25.9833,-98.1,Villa Santa Cecilia
434,Kavaratti,IN,79.95,overcast clouds,10.5669,72.642,Green leaf
439,Sinnamary,GF,79.25,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
443,Faanui,PF,78.91,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
445,Mozarlandia,BR,81.1,broken clouds,-14.7447,-50.5706,Hotel Santa Mônica
447,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
449,Touros,BR,76.82,clear sky,-5.1989,-35.4608,INN NEW HORIZON
450,Fukuma,JP,77.29,few clouds,33.7667,130.4667,Masago
453,Careiro Da Varzea,BR,86.61,overcast clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
457,Riachao Das Neves,BR,87.4,broken clouds,-11.7461,-44.91,Casa Costa
458,Dingle,PH,82.33,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
464,Sola,VU,84.87,few clouds,-13.8833,167.55,Leumerus Bungalows
465,Kathu,TH,84.74,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
467,Akyab,MM,78.76,overcast clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
472,Norsup,VU,83.39,few clouds,-16.0667,167.3833,Nabelchel Bungalows
473,Gondanglegi,ID,79.48,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
476,Lucea,JM,76.86,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
477,Yining,CN,85.05,clear sky,29.0361,114.5636,Xiushui Hotel
495,Bacong,PH,82.71,overcast clouds,9.2464,123.2956,Sta Monica Beach Club
497,Panalingaan,PH,81.99,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
505,Kralendijk,BQ,84.18,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
510,Sur,OM,79.16,clear sky,22.5667,59.5289,Sur Plaza Hotel
511,San Carlos,VE,75.36,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
514,Port Keats,AU,86.2,clear sky,-14.25,129.55,Kardu Durrikardu Numida Hostel
518,Canto Do Buriti,BR,81.95,few clouds,-8.11,-42.9444,Novo Hotel
525,Doha,QA,82.38,clear sky,25.2867,51.5333,Mövenpick Doha
528,Phatthalung,TH,78.04,moderate rain,7.5,100.0833,Ozone Resort & Pool Villa
531,Itaituba,BR,79.75,very heavy rain,-4.2761,-55.9836,Hotel Campos
532,Bandarbeyla,SO,76.93,overcast clouds,9.4942,50.8122,JABIR HOTEL
537,Petit Goave,HT,81.48,overcast clouds,18.4314,-72.8669,Imperial Suite International
541,Ishigaki,JP,82.53,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
544,Salina,US,80.73,clear sky,38.8403,-97.6114,"Holiday Inn Express & Suites Salina, an IHG Hotel"
546,Mae Hong Son,TH,75.34,mist,19.3003,97.9685,Baiyoke Chalet Hotel
550,Council Bluffs,US,77.52,clear sky,41.2619,-95.8608,"Holiday Inn Express & Suites Council Bluffs - Conv Ctr Area, an IHG Hotel"
565,La Asuncion,VE,85.73,clear sky,11.0333,-63.8628,Colinas de Matasiete
570,Martapura,ID,77.09,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
572,Puerto Escondido,MX,80.1,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
574,Road Town,VG,84.29,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
576,Manaus,BR,86.49,light rain,-3.1019,-60.025,Manaus Hotéis Millennium
577,Mora,CM,79.52,broken clouds,11.0461,14.1401,Hotel Emergence
579,Dunmore Town,BS,81.95,clear sky,25.5,-76.65,Coral Sands Hotel
585,Cockburn Town,TC,83.25,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
586,Charters Towers,AU,80.44,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
587,Rurrenabaque,BO,78.28,scattered clouds,-14.4413,-67.5278,Casa de Campo
588,Hayden,US,78.49,clear sky,47.766,-116.7866,Triple Play Resort Hotel & Suites
591,Teahupoo,PF,78.76,overcast clouds,-17.8333,-149.2667,Vanira Lodge
592,Phalodi,IN,80.26,clear sky,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
596,Marsh Harbour,BS,80.49,light rain,26.5412,-77.0636,Abaco Beach Resort
598,Tanah Merah,MY,75.02,overcast clouds,5.8,102.15,Humaira Hotel
600,Jitra,MY,75.09,few clouds,6.2681,100.4217,Hotel Darulaman
602,Bilma,NE,88.95,clear sky,18.6853,12.9164,Expeditions Ténére voyages
606,Awjilah,LY,75.7,clear sky,29.1081,21.2869,المنزل
607,The Valley,AI,82.54,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
608,Lalmohan,BD,81.27,light rain,22.3384,90.7419,Arifur Rahman Miraj
610,Campbell River,CA,77.38,few clouds,50.0163,-125.2446,Anchor Inn & Suites
611,Acajutla,SV,80.06,overcast clouds,13.5928,-89.8275,CASA DE LA PERRA
612,San Pedro,PH,79.83,heavy intensity rain,14.35,121.0167,Palines Apartment and Guesthouse
615,Hirara,JP,80.87,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
617,Marrakesh,MA,75.27,clear sky,31.6315,-8.0083,Les Jardins de La Koutoubia
618,Matara,LK,78.57,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
620,Shiliguri,IN,75.99,overcast clouds,26.7,88.4333,Classic Hotel and Lodge
624,Arraias,BR,80.49,broken clouds,-12.9288,-46.9437,Hotel Japão
630,Bosaso,SO,84.56,broken clouds,11.2842,49.1816,Red Sea Hotel
633,Dong Xoai,VN,75.22,overcast clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
634,Olinda,BR,76.73,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
635,Centralia,US,85.48,clear sky,46.7162,-122.9543,Peppermill Inn
638,Kroya,ID,78.12,overcast clouds,-7.6331,109.2461,Wisma Legoq Kost
648,Karang Tengah,ID,79.66,overcast clouds,-7.5787,111.8642,Griya Alifia Family
649,Trairi,BR,77.4,clear sky,-3.2778,-39.2689,janelas do mar
657,Tucurui,BR,87.24,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
659,Marawi,PH,75.63,overcast clouds,7.9986,124.2928,Derogongan Residence
663,Karratha,AU,76.42,few clouds,-20.7377,116.8463,ibis Styles Karratha
665,Linping,CN,85.95,clear sky,30.4225,120.2972,Super 8 Hangzhou Linping Subway Station
667,San Patricio,US,82.35,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
672,Alamogordo,US,78.22,clear sky,32.8995,-105.9603,Fairfield Inn & Suites by Marriott Alamogordo
673,Sohag,EG,82.69,clear sky,26.557,31.6948,Civil Registry - Sohag 1
674,Paka,MY,76.98,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
675,Sadiqabad,PK,80.1,clear sky,28.3062,70.1307,MIDWAY HOTEL & RESTAURANT
676,Tual,ID,82.74,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
678,Ouidah,BJ,76.86,overcast clouds,6.3631,2.0851,Le Jardin Secret Ouidah
679,Cayenne,GF,78.84,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
680,Ambon,ID,86.14,clear sky,-3.6954,128.1814,Swiss-Belhotel Ambon
681,Trinidad,BO,89.58,few clouds,-14.8333,-64.9,Hotel Piesta
683,Itarema,BR,77.63,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
684,Becerril,CO,79.29,scattered clouds,9.7041,-73.2793,Barrio El Carmen
690,Buluang,PH,81.46,overcast clouds,13.3068,123.3425,Sacueza Beach Resort
691,Umm Lajj,SA,83.7,clear sky,25.0213,37.2685,Moon light Furnished Units
694,Kigoma,TZ,77.56,broken clouds,-4.8769,29.6267,MJI Mwema Lodge
697,Porto De Moz,BR,81.5,overcast clouds,-1.7483,-52.2383,Dormitório labelle
699,Pochutla,MX,76.41,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
702,Pecos,US,85.03,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos Northeast
705,Gat,IL,77.4,clear sky,31.61,34.7642,OlusHome
